prev_title,curr_title,n,type
other-empty,Main_Page,111855861,other
other-wikipedia,Main_Page,7589196,other
other-google,Main_Page,3816398,other
other-wikipedia,Alive,2221485,other
other-google,Fifty_Shades_of_Grey,1762420,other
other-empty,87th_Academy_Awards,1230329,other
other-google,Chris_Kyle,1166169,other
other-google,Alessandro_Volta,1158486,other
other-google,Stephen_Hawking,954807,other
other-google,Better_Call_Saul,949459,other
other-empty,Academy_Awards,925815,other
other-google,Birdman_(film),893109,other
other-google,Fifty_Shades_of_Grey_(film),832311,other
other-other,Main_Page,816428,other
other-google,87th_Academy_Awards,779554,other
Main_Page,Deaths_in_2015,769616,link
other-google,Valentine's_Day,763498,other
other-google,Islamic_State_of_Iraq_and_the_Levant,729996,other
other-google,Chinese_New_Year,665248,other
other-google,List_of_Bollywood_films_of_2015,645796,other
other-google,Lunar_New_Year,597108,other
other-google,Leonard_Nimoy,579506,other
other-google,Sia_(musician),578380,other
other-google,Bruce_Jenner,545466,other
other-google,The_Flash_(2014_TV_series),540539,other
other-google,The_Walking_Dead_(TV_series),535085,other
other-google,2015_Cricket_World_Cup,531086,other
other-google,Dakota_Johnson,529633,other
other-google,Sam_Smith_(singer),512726,other
other-google,The_Walking_Dead_(season_5),510408,other
other-google,American_Sniper_(film),491330,other
other-google,Kingsman:_The_Secret_Service,490798,other
other-google,Gotham_(TV_series),487671,other
other-wikipedia,Lycos,481713,other
other-google,Beck,472314,other
other-google,Whiplash_(2014_film),458110,other
other-google,House_of_Cards_(season_3),447245,other
other-google,Tom_Brady,435525,other
other-empty,Deaths_in_2015,434337,other
other-google,Alan_Turing,432759,other
other-google,List_of_Arrow_episodes,415020,other
other-google,List_of_Suits_episodes,410713,other
other-google,Jamie_Dornan,392766,other
other-google,How_to_Get_Away_with_Murder,392536,other
other-google,House_of_Cards_(U.S._TV_series),389607,other
other-google,Jupiter_Ascending,384479,other
other-google,Ariana_Grande,374838,other
other-google,Laura_Ingalls_Wilder,371077,other
Fifty_Shades_of_Grey,Fifty_Shades_of_Grey_(film),368694,link
other-google,Eddie_Redmayne,361689,other
other-google,Game_of_Thrones,347021,other
other-google,Boyhood_(film),342830,other
other-google,Kanye_West,327993,other
other-google,Monty_Oum,323565,other
other-google,Hozier_(musician),320445,other
other-google,Agent_Carter_(TV_series),319161,other
other-google,List_of_The_Walking_Dead_episodes,312806,other
other-google,Brian_Williams,310278,other
other-google,Katy_Perry,309610,other
other-google,The_Theory_of_Everything_(2014_film),308698,other
other-google,Martin_Luther_King_Jr.,307983,other
other-google,Mia_Khalifa,307720,other
other-google,List_of_Super_Bowl_champions,306391,other
other-google,Ed_Sheeran,305623,other
other-google,Game_of_Thrones_(season_5),304281,other
other-google,Taylor_Swift,300644,other
other-google,Big_Hero_6_(film),299621,other
other-google,The_Imitation_Game,298051,other
other-google,Lady_Gaga,297320,other
other-google,Empire_(2015_TV_series),294184,other
other-google,List_of_Top_Gear_episodes,290795,other
other-google,The_Order:_1886,286499,other
other-google,Barack_Obama,286290,other
Fifty_Shades_of_Grey_(film),Dakota_Johnson,284352,link
other-google,World_War_I,278570,other
other-google,Ash_Wednesday,275011,other
other-google,Roy_(film),274277,other
other-google,Gone_Girl_(film),270238,other
other-google,The_Big_Bang_Theory,265782,other
other-google,Fresh_Off_the_Boat,265018,other
other-google,Yennai_Arindhaal,263206,other
other-google,2015_in_film,258645,other
other-google,Facebook,258420,other
other-google,Amber_Rose,257279,other
other-google,Arrow_(TV_series),256386,other
other-google,57th_Annual_Grammy_Awards,254050,other
other-google,Badlapur_(film),253856,other
Arrow_(TV_series),List_of_Arrow_episodes,253460,link
other-google,World_War_II,251179,other
other-google,Drake_(rapper),250342,other
other-google,WWE_Fastlane,250316,other
Fifty_Shades_of_Grey,Fifty_Shades_Darker,249155,link
other-google,Suits_(TV_series),247097,other
other-google,Parks_and_Recreation,244816,other
other-google,Beyoncé,244363,other
other-google,Vikings_(TV_series),243295,other
other-google,List_of_Bollywood_films_of_2014,240052,other
other-google,Interstellar_(film),239639,other
other-google,BDSM,239027,other
other-google,Julianne_Moore,235507,other
other-google,Wiki,234914,other
other-google,Measles,234872,other
other-google,Breaking_Bad,234604,other
other-bing,Main_Page,234259,other
other-google,Groundhog_Day,231606,other
Fifty_Shades_of_Grey_(film),Jamie_Dornan,228742,link
other-google,Super_Bowl,228690,other
other-google,List_of_Presidents_of_the_United_States,228319,other
other-google,Arvind_Kejriwal,227428,other
other-empty,Wikipedia,227172,other
other-google,Whitney_Houston,226693,other
other-google,Shamitabh,225854,other
other-google,Mardi_Gras,224436,other
other-google,Madonna_(entertainer),223449,other
other-google,Standard_deviation,222734,other
other-yahoo,Facebook,222302,other
other-google,Mahatma_Gandhi,221883,other
other-google,Bruno_Mars,221662,other
other-google,Jordan,221026,other
Fifty_Shades_Darker,Fifty_Shades_Freed,220788,link
other-google,Dying_Light,219974,other
other-google,List_of_Naruto:_Shippuden_episodes,219887,other
other-google,Wikipedia,217759,other
other-google,Abraham_Lincoln,215733,other
other-google,The_Grand_Budapest_Hotel,215311,other
other-google,Maddie_Ziegler,215224,other
other-google,Procter_&_Gamble,215170,other
other-google,Shrove_Tuesday,214586,other
other-google,Swine_influenza,214583,other
other-google,Life_Is_Strange,212508,other
other-google,Super_Bowl_XLIX,210660,other
other-other,Facebook,210622,other
other-google,Dragon_Ball_XenoVerse,210261,other
other-google,India,209770,other
other-google,The_Hunger_Games,209358,other
other-google,The_100_(TV_series),208930,other
